feature,gain
roll12_lag12,1366877246478636.0
roll4_lag12,313802807457420.0
lag_52,207705457564568.0
Dept,174429583175160.0
week,104665651875108.0
lag_12,84210432799220.0
Store,66018874692856.0
lag_13,33929732767652.0
lag_26,28870620887896.0
lag_53,20227604969252.0
Size,19330237742712.0
lag_14,18124147673312.0
lag_51,17747726503312.0
month,16749575667648.0
MarkDown3,13253729340600.0
IsHoliday,8474259611344.0
MarkDown4,5087972812072.0
Type,4513557166896.0
MarkDown1,3258987715568.0
MarkDown5,1679532636552.0
MarkDown2,1083496124328.0
