Store,Date,pred
1,2012-11-02,1690517.4797146542
1,2012-11-09,1689879.0634430568
1,2012-11-16,1650129.066115223
1,2012-11-23,2107333.5398056884
1,2012-11-30,1639065.7026212185
1,2012-12-07,1828528.1466471828
1,2012-12-14,1942282.8811308546
1,2012-12-21,2212035.371286808
1,2012-12-28,1589731.241329286
1,2013-01-04,1576919.3622037766
1,2013-01-11,1509864.833070838
1,2013-01-18,1420160.9272232526
2,2012-11-02,1966845.8915635806
2,2012-11-09,1993996.1376334853
2,2012-11-16,1983233.9687121802
2,2012-11-23,2588891.6739043673
2,2012-11-30,2076119.3738508895
2,2012-12-07,2313505.4668056965
2,2012-12-14,2478275.522575603
2,2012-12-21,2911105.304282501
2,2012-12-28,2012665.9737930212
2,2013-01-04,1818301.4097278265
2,2013-01-11,1784180.642930725
2,2013-01-18,1707111.4335677924
3,2012-11-02,449032.24636764755
3,2012-11-09,437937.8079604511
3,2012-11-16,439409.5757301485
3,2012-11-23,630031.0634911121
3,2012-11-30,477018.3307085366
3,2012-12-07,500404.2547809898
3,2012-12-14,537975.987428337
3,2012-12-21,616227.0983894693
3,2012-12-28,456757.30376740097
3,2013-01-04,421858.4517297692
3,2013-01-11,401471.8183125754
3,2013-01-18,400967.8813977275
4,2012-11-02,2300989.122950305
4,2012-11-09,2307435.0291008935
4,2012-11-16,2367635.04896497
4,2012-11-23,3145598.0912615596
4,2012-11-30,2415667.8528905683
4,2012-12-07,2548493.5659579756
4,2012-12-14,2837092.480372806
4,2012-12-21,3547647.7035224023
4,2012-12-28,2401590.1589035653
4,2013-01-04,2163095.2635367415
4,2013-01-11,2032286.7027778577
4,2013-01-18,2076649.2804528985
5,2012-11-02,351443.8861845962
5,2012-11-09,337865.92464547994
5,2012-11-16,338613.18555340916
5,2012-11-23,515919.75279866613
5,2012-11-30,400184.57073109294
5,2012-12-07,390225.502892388
5,2012-12-14,400962.9759530789
5,2012-12-21,466047.8228736948
5,2012-12-28,368690.38664966915
5,2013-01-04,327000.2837835965
5,2013-01-11,303690.9213571894
5,2013-01-18,304791.50255901646
6,2012-11-02,1616012.2179841872
6,2012-11-09,1592332.9567342913
6,2012-11-16,1601405.559122927
6,2012-11-23,2218214.2050179206
6,2012-11-30,1766951.5384204176
6,2012-12-07,1948525.857139299
6,2012-12-14,2070759.2348978715
6,2012-12-21,2529228.479542934
6,2012-12-28,1723053.983643354
6,2013-01-04,1452769.8753122794
6,2013-01-11,1362478.0318253108
6,2013-01-18,1327377.822207841
7,2012-11-02,593785.5012844363
7,2012-11-09,598037.8707755329
7,2012-11-16,603301.0724972718
7,2012-11-23,1033143.6117636565
7,2012-11-30,681281.8090356722
7,2012-12-07,673044.3800970073
7,2012-12-14,769807.6489038401
7,2012-12-21,1049690.4110222051
7,2012-12-28,874006.4774654825
7,2013-01-04,740176.3651659408
7,2013-01-11,602357.1547709745
7,2013-01-18,565340.1643014884
8,2012-11-02,958654.6117461149
8,2012-11-09,936658.6021451398
8,2012-11-16,945474.2860162309
8,2012-11-23,1290408.5943796833
8,2012-11-30,1026571.4156097365
8,2012-12-07,1049928.8138017838
8,2012-12-14,1141188.4155415455
8,2012-12-21,1399643.9770713754
8,2012-12-28,950001.3540840168
8,2013-01-04,912573.2376355124
8,2013-01-11,834437.2744621874
8,2013-01-18,832375.4273671755
9,2012-11-02,593459.2997539041
9,2012-11-09,598601.6734350285
9,2012-11-16,579836.4830385407
9,2012-11-23,844226.2990826535
9,2012-11-30,635041.664324114
9,2012-12-07,651654.2823224962
9,2012-12-14,708545.7697997967
9,2012-12-21,897487.5611103463
9,2012-12-28,595526.8012199431
9,2013-01-04,544673.3906175098
9,2013-01-11,503183.1688446263
9,2013-01-18,505338.1072256548
10,2012-11-02,1887793.9559963227
10,2012-11-09,2001039.90337878
10,2012-11-16,1937765.004504414
10,2012-11-23,2723231.8167170715
10,2012-11-30,2136565.8033361617
10,2012-12-07,2424411.504254989
10,2012-12-14,2556761.7454340314
10,2012-12-21,3213391.5741167846
10,2012-12-28,2114511.7136054235
10,2013-01-04,1721049.7547238732
10,2013-01-11,1707746.8785386286
10,2013-01-18,1704319.044524458
11,2012-11-02,1469128.4510994914
11,2012-11-09,1429178.6528102101
11,2012-11-16,1400665.5411818065
11,2012-11-23,1864024.7000517966
11,2012-11-30,1485457.5674528896
11,2012-12-07,1682862.0175873395
11,2012-12-14,1838320.8593453122
11,2012-12-21,2133289.1615877207
11,2012-12-28,1491420.5219364953
11,2013-01-04,1340210.1297678135
11,2013-01-11,1249067.7873579804
11,2013-01-18,1207848.4307489058
12,2012-11-02,1105886.721035166
12,2012-11-09,1111139.5335191735
12,2012-11-16,1081085.145249939
12,2012-11-23,1625337.715207824
12,2012-11-30,1134118.3216873342
12,2012-12-07,1218102.7942158172
12,2012-12-14,1271226.9094216144
12,2012-12-21,1568970.9034913876
12,2012-12-28,1185365.9026967145
12,2013-01-04,986429.6069590445
12,2013-01-11,897479.5350471261
12,2013-01-18,885270.8221322945
13,2012-11-02,2183624.263655939
13,2012-11-09,2159239.0161527307
13,2012-11-16,2127584.7458503773
13,2012-11-23,2889864.9181753816
13,2012-11-30,2235244.055114505
13,2012-12-07,2492793.1916282745
13,2012-12-14,2755410.4490509317
13,2012-12-21,3367784.452900304
13,2012-12-28,2206757.3880275786
13,2013-01-04,1919019.822598992
13,2013-01-11,1816602.8354301434
13,2013-01-18,1830528.539165546
14,2012-11-02,1935775.0127072644
14,2012-11-09,1855867.668143948
14,2012-11-16,1843969.383059814
14,2012-11-23,2455281.8568957434
14,2012-11-30,2043169.3370318906
14,2012-12-07,2258897.8943227613
14,2012-12-14,2426011.581831233
14,2012-12-21,2804059.2234850135
14,2012-12-28,1976589.2029362668
14,2013-01-04,1689290.388111209
14,2013-01-11,1562388.0049540014
14,2013-01-18,1617044.2957673564
15,2012-11-02,614107.5449017416
